id,name,type,root
58cb931bc504342136a15357,Ambi Parameswaran,crunchbase,
w5svBW3mnqwjQcSvp,Ambarish Ray,manualEntry,
591d54edd2804e363011f42b,Ambarish Raghuvanshi,crunchbase,
592e66d13dcdcf86928907c0,Amazon Web Services,crunchbase,
58da24c0e7412fed0834f888,Amazon,crunchbase,Amazon Web Services
L3ZXGtgWrujt9AtnT,Amasia,crunchbase,
4jBDgC9ocRBhyisnf,Altpoint Ventures,manualEntry,
5959e5cc8350441ee697ff08,Alto Partners SGR,crunchbase,
q2wiWnhCH3vHD8zA9,Altimeter Capital,crunchbase,
59439cb4d85e4d1d5b9f7a02,Altico Capital India Private Limited,crunchbase,
TLv2ctAxaHcPMDLoB,Altico Capital,manualEntry,
NMasBnjHcgyrcnuRd,Alt Option Return,crunchbase,
BjeimWvmmZq8ietwA,Alps Ventures,crunchbase,
592e72b0c00b739fd00d8cfe,Alphacap Berhad,crunchbase,
RLzd5LK2dEHMCJpNz,Alpha Venture Partners,crunchbase,
azjRJYhSxJ4MhhKPj,Alpha Startups (阿尔法公社),manualEntry,
XRZjQ9FS2xSvHNsYb,Alpha JWC Ventures,crunchbase,
ac5BGzqPEn6v3BiSN,Alpha Capital,crunchbase,
nyuX6aCuC3k7Faybp,Alpha Animation (奥飞动漫),manualEntry,
F6p8sSnBbJ7R7sxTT,Alongcp Capital Partners (御泓资本),manualEntry,
FRM7nZKWFRnYneoZx,Aloke Bajpai,crunchbase,
QtXyub8nCdCJbKgz7,Alok Mittal,crunchbase,
592bbc1eb80c90b87e848d88,Almaz Capital Partners,manualEntry,
capRA3DnhznPQNk7t,Ally Bridge Group,manualEntry,
sG9gPf2iwMoNbDoL3,Allure Media,crunchbase,
mdxLWqJx854bWo6ww,All-Stars Investment,crunchbase,
KAZ7rhQaDkQb6dnYS,Allin Capital (熠帆资本),manualEntry,
597026eb6ed6c53d3a1a0217,Allianz Ventures,crunchbase,
Pe8SqFYnyzDJhJz8x,Allen Morgan,crunchbase,
GE7nAG3e7dxQHGLXE,Allen Linz,crunchbase,
tibmB6yGviQjtheuX,Allen & Company,crunchbase,
7srKPWFkLYbuzncTY,Allan Moss,crunchbase,
KupH7AK4aBuAD3Fo4,Allan English,manualEntry,
kkSKrYpZtyKfWHbLm,Allain Pool,manualEntry,
590bf45ac4e3f8f34757bbcc,Alium Capital,manualEntry,
58d4b220c2dd22f5c1ccf67e,Alice Sun,manualEntry,
59279971b655737b20ac13ee,Alibaba Group,crunchbase,
591d13d18bc82e82e482e9da,Alibaba Entrepreneurs Fund,crunchbase,Alibaba Group
YpQrGRGdzsfk4Bmhe,Alibaba (阿里巴巴),manualEntry,Alibaba Group
595dfd47dbc35a04417d7776,Alibaba,crunchbase,Alibaba Group
4MAbD4wyHh9ZSHrNe,Ali Partovi,crunchbase,
59537a30d8710017ea8df471,Alfred Street Investment Partners,crunchbase,
yxESNkZhSdfdPEkd4,Alexis Ohanian,crunchbase,
CQa32YRqCysQuPFtB,Alexander Petrov,crunchbase,
fSGZ2qAA42yCk7bM7,Alexander Asseily,crunchbase,
