id,name,type
7hzxjTv7TpYCH7TXD,HGI Finaves China (华欧创投基金),manualEntry
5oJ7DFAePfT34pGpm,WestBridge Capital,crunchbase
62QqoMctukTR5ePSE,East Ventures,crunchbase
7srKPWFkLYbuzncTY,Allan Moss,crunchbase
8XPjX6fpJfKgswPef,F&G Venture (方广资本),manualEntry
8svNnZCFHrQLyJnuq,Joshua Kushner,crunchbase
99vuLP9n7pXdyS48z,Revolution,crunchbase
9E59hoYRMGzCYMkLG,Lim Soon Hock,crunchbase
9Ws74dB6n5wivrZCB,BIGLOBE Capital,crunchbase
9mxcMHpQkcnsattaF,Lachlan Murdoch,crunchbase
66uGKrP7jhyqFzn55,En Wei Capita (恩惟资本),manualEntry
67z3hj2Lk2dJHw9Yb,Infinity Ventures,crunchbase
6ygMGZP7kQFyKs7fK,Fred Schaufeld,crunchbase
7M6XzRsikddec73ZA,Sebastian Gan,manualEntry
8FjahmkqejptFDDSM,Bright Success Capital,manualEntry
8MHXCXr9TwdbhQt99,Ziniu Fund (紫牛基金),manualEntry
8RbGSwvvcuxsbHCqB,Crystal Stream (清流资本),manualEntry
9z5bAHTjY5g7fWLu2,Miten Sampat,crunchbase
9zHr8MNzg5KRhy5uh,In Capital (盈动投资/盈开投资),manualEntry
ADNPXhEngzht7nXJw,Samuel Yin,manualEntry
ADkckAPe69vEwqA79,Benchmark,crunchbase
AYbDSa7FhZ2y7tE2A,Amidzad Partners,crunchbase
AcHdScSnnANYzM2mA,ESZ Holdings,crunchbase
AjgP49PnpYoe9Kivk,SDIC (国投高科技投资),manualEntry
BNEdggQQGykLHqL4s,Two Sigma Ventures,crunchbase
BP37vX8Y2Tudr9vSW,Adrian MacKenzie,crunchbase
BjkzLhaWqr4QwTF3K,Adrian Di Marco,crunchbase
CbYFvNFPMzXYmZXm4,Tidal Star Group (潮星集团),manualEntry
Ct7ZBrCMHASXcdM2W,Z&H Investments (北京众海投资),manualEntry
D3uzLqsWnP4vSpzW2,Vintage Investment Partners,crunchbase
DDhmmTbLHTpBzhSJz,SEGA,manualEntry
DP7oKM7GZwSWre8mw,Beamonte Investments,crunchbase
E2aug5F8tmcWgAAgp,Fran Hauser,crunchbase
EN2Wcm2AFXXEjcW5r,Broadline Capital,crunchbase
ETK6WADcsCrLPj96W,7-Eleven,crunchbase
Ei6x2zHffRiPeyHQg,Ookbee,crunchbase
ExFiFCiZ7QpToFXrB,CAS Star (中科创星),manualEntry
EyZyN69rfsrkfviSm,Poh Kam Wong,manualEntry
EzCgtBqcCCFKyvxtA,BWB Ventures,crunchbase
F3YsyKYSLKDmQRLcE,Gideon Yu,crunchbase
FT6NDAhFYXvYk4f7X,Viswanath Ramachandran,manualEntry
FZvhJghd2bqSdQqxo,Tiger Global Management,crunchbase
GCqk6w6y9tT6Hp5QT,Gigamon,manualEntry
GhfehEXBn8N4hfZGs,Matrix Partners,crunchbase
GowAbgSG26RoMnCcc,Narra Venture Capital,manualEntry
GuRLJ3zz22ewSh8Wn,Terrence Yang,manualEntry
GuXL4Fxnbxi7sFpff,Aria Ventures,crunchbase
JsHCxddGRyP2wufqA,Tribune Digital Ventures,crunchbase
K2ovazLBDmH5wbNmj,Silvio Salom,manualEntry
K4xHR6Q2zxXH92sfZ,Interactive E Solutions,manualEntry
KD2SdPuckoZLKsHWn,Canaccord Genuity Corp,crunchbase
KrAKWyW6H4WkPuHvm,The Ascott China,crunchbase
AKGDPJGLPxEEoM4z8,Seven West Media,crunchbase
ANKivahd9cykA3QWq,Prince Abdul Qawi,manualEntry
